iter	RMSE
0	22056.64277
1	21437.63679
2	20835.16103
3	20257.73805
4	19694.41213
5	19150.51444
6	18623.99448
7	18116.26808
8	17619.58105
9	17144.46189
10	16682.70234
11	16234.82955
12	15798.48024
13	15378.07374
14	14973.09562
15	14582.00744
16	14199.89833
17	13828.1057
18	13481.89704
19	13145.98406
20	12815.10515
21	12496.47123
22	12184.87239
23	11882.09182
24	11588.95896
25	11304.47965
26	11039.33525
27	10772.26709
28	10516.12303
29	10272.68266
30	10034.42048
31	9805.80841
32	9579.112364
33	9365.895028
34	9165.593565
35	8967.72208
36	8778.390603
37	8598.038445
38	8419.940015
39	8249.359937
40	8084.698192
41	7924.253801
42	7770.167582
43	7631.142293
44	7486.959872
45	7348.58887
46	7216.526532
47	7090.02012
48	6968.490963
49	6854.383909
50	6741.918082
51	6635.120853
52	6532.2313
53	6433.24983
54	6338.177267
55	6247.759547
56	6161.89941
57	6079.934184
58	6000.287488
59	5925.213102
60	5851.710919
61	5778.575217
62	5715.210366
63	5651.3397
64	5589.206897
65	5527.129682
66	5473.228928
67	5414.533334
68	5361.362929
69	5312.662868
70	5263.519731
71	5218.394529
72	5176.063455
73	5133.986913
74	5091.704426
75	5051.534748
76	5013.94941
77	4978.029451
78	4940.528675
79	4907.163988
80	4871.817201
81	4838.639422
82	4810.69394
83	4782.607575
84	4755.747752
85	4730.906779
86	4707.364915
87	4684.11047
88	4658.354365
89	4637.554616
90	4613.146135
91	4589.008443
92	4565.853009
93	4548.277864
94	4529.171887
95	4508.714094
96	4492.31504
97	4475.695833
98	4461.011864
99	4446.391911
100	4430.347213
101	4415.233356
102	4400.731127
103	4386.772914
104	4372.806509
105	4360.176488
106	4348.309963
107	4337.001053
108	4322.341902
109	4312.183588
110	4300.217566
111	4286.765462
112	4274.371085
113	4265.457603
114	4256.93992
115	4246.968698
116	4237.407477
117	4230.006822
118	4219.770127
119	4212.237877
120	4202.518087
121	4186.945876
122	4178.525709
123	4168.746787
124	4161.70775
125	4154.629325
126	4147.9389
127	4138.568269
128	4131.851426
129	4124.621815
130	4115.061769
131	4108.088716
132	4103.724987
133	4097.947693
134	4087.186352
135	4080.704483
136	4074.126793
137	4068.118171
138	4059.930425
139	4054.043832
140	4049.415589
141	4042.257515
142	4036.661982
143	4032.484281
144	4027.907856
145	4023.31099
146	4018.682413
147	4013.589863
148	4008.311767
149	3998.260239
150	3992.57333
151	3986.531703
152	3982.025023
153	3978.560482
154	3973.204047
155	3969.443199
156	3965.624825
157	3961.830155
158	3956.768638
159	3953.234591
160	3949.276218
161	3945.600488
162	3939.622929
163	3935.722754
164	3932.205006
165	3926.405489
166	3923.348136
167	3917.782661
168	3914.752166
169	3911.115724
170	3906.723673
171	3903.236196
172	3900.03661
173	3896.436568
174	3892.523476
175	3888.948855
176	3885.307639
177	3882.274978
178	3879.13968
179	3876.241115
180	3873.429673
181	3870.216151
182	3866.886916
183	3864.325621
184	3859.638792
185	3855.183435
186	3851.048744
187	3848.370138
188	3845.677694
189	3842.772552
190	3838.591206
191	3836.740467
