iter	Passed	Remaining
0	9	2761
1	16	2515
2	24	2415
3	31	2364
4	39	2333
5	47	2309
6	54	2295
7	62	2296
8	70	2290
9	78	2274
10	85	2249
11	93	2238
12	101	2242
13	109	2230
14	117	2223
15	125	2220
16	133	2228
17	141	2220
18	150	2220
19	158	2223
20	171	2284
21	184	2326
22	194	2341
23	202	2330
24	210	2313
25	218	2303
26	226	2294
27	235	2283
28	242	2268
29	250	2255
30	258	2244
31	266	2228
32	273	2214
33	281	2203
34	289	2188
35	297	2179
36	304	2167
37	312	2152
38	320	2143
39	328	2136
40	336	2126
41	343	2112
42	351	2100
43	358	2088
44	366	2076
45	374	2065
46	382	2059
47	390	2048
48	397	2037
49	405	2025
50	412	2015
51	421	2009
52	429	2001
53	437	1994
54	445	1982
55	452	1972
56	460	1965
57	468	1954
58	476	1946
59	484	1936
60	491	1926
61	498	1915
62	506	1906
63	514	1898
64	522	1890
65	530	1879
66	538	1871
67	546	1863
68	553	1853
69	560	1842
70	568	1833
71	576	1824
72	584	1816
73	591	1807
74	599	1797
75	606	1787
76	614	1780
77	622	1770
78	629	1760
79	637	1753
80	645	1745
81	652	1735
82	661	1728
83	669	1721
84	677	1712
85	686	1708
86	694	1699
87	701	1690
88	709	1682
89	717	1674
90	725	1665
91	732	1656
92	740	1647
93	747	1638
94	755	1629
95	762	1621
96	770	1613
97	778	1604
98	786	1596
99	793	1587
100	801	1579
101	808	1570
102	816	1561
103	824	1554
104	832	1545
105	840	1538
106	848	1530
107	856	1523
108	865	1516
109	872	1507
110	880	1498
111	888	1490
112	895	1482
113	903	1474
114	910	1465
115	918	1456
116	925	1448
117	934	1441
118	942	1433
119	950	1425
120	958	1417
121	966	1410
122	974	1402
123	982	1394
124	989	1385
125	997	1377
126	1005	1369
127	1012	1361
128	1020	1353
129	1029	1346
130	1037	1338
131	1046	1332
132	1055	1325
133	1062	1316
134	1070	1308
135	1079	1301
136	1087	1293
137	1095	1286
138	1103	1278
139	1111	1270
140	1120	1263
141	1128	1255
142	1135	1246
143	1143	1238
144	1150	1230
145	1159	1222
146	1167	1215
147	1175	1207
148	1183	1199
149	1192	1192
150	1200	1184
151	1209	1177
152	1217	1169
153	1226	1162
154	1233	1154
155	1241	1145
156	1248	1137
157	1257	1129
158	1263	1120
159	1270	1111
160	1278	1103
161	1286	1095
162	1295	1088
163	1303	1080
164	1311	1073
165	1319	1065
166	1328	1057
167	1335	1049
168	1343	1041
169	1350	1032
170	1359	1025
171	1367	1017
172	1374	1009
173	1382	1001
174	1389	992
175	1397	984
176	1404	976
177	1413	968
178	1420	960
179	1428	952
180	1436	944
181	1444	936
182	1452	928
183	1460	920
184	1468	913
185	1477	905
186	1484	897
187	1491	888
188	1499	880
189	1508	873
190	1519	867
191	1531	861
192	1552	860
193	1561	853
194	1570	845
195	1578	837
196	1587	829
197	1595	822
198	1603	813
199	1612	806
200	1620	798
201	1629	790
202	1638	782
203	1647	775
204	1654	766
205	1663	758
206	1672	751
207	1680	743
208	1688	735
209	1696	726
210	1703	718
211	1712	710
212	1719	702
213	1727	694
214	1735	686
215	1743	678
216	1751	669
217	1759	661
218	1767	653
219	1775	645
220	1783	637
221	1790	629
222	1798	620
223	1806	612
224	1813	604
225	1821	596
226	1830	588
227	1838	580
228	1845	572
229	1853	564
230	1861	556
231	1869	547
232	1876	539
233	1884	531
234	1893	523
235	1901	515
236	1909	507
237	1917	499
238	1925	491
239	1935	483
240	1943	475
241	1951	467
242	1959	459
243	1967	451
244	1975	443
245	1983	435
246	1990	427
247	1997	418
248	2006	410
249	2014	402
250	2023	394
251	2032	387
252	2039	378
253	2048	371
254	2057	363
255	2065	355
256	2073	346
257	2081	338
258	2089	330
259	2096	322
260	2104	314
261	2113	306
262	2120	298
263	2129	290
264	2137	282
265	2146	274
266	2154	266
267	2163	258
268	2170	250
269	2178	242
270	2186	233
271	2194	225
272	2202	217
273	2210	209
274	2218	201
275	2226	193
276	2233	185
277	2242	177
278	2250	169
279	2259	161
280	2267	153
281	2275	145
282	2283	137
283	2291	129
284	2298	120
285	2307	112
286	2315	104
287	2324	96
288	2332	88
289	2339	80
290	2347	72
291	2354	64
292	2363	56
293	2370	48
294	2379	40
295	2386	32
296	2395	24
297	2402	16
298	2410	8
299	2418	0
